pmid,gene,typed_status,readout_comparability,marson_strongest_de,marson_strongest_condition,title,claim_sentence
39663454,KLF2,evidence_attached,comparable,987,Rest,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 was required for histone methylation and expression of genes encoding key context-specific regulators, including the rest maintenance factor KLF2 and the versatile regulator MYC."
39663454,MED12,evidence_attached,comparable,4142,Stim8hr,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 - a component of the Mediator complex - serves as a dynamic orchestrator of key regulators, controlling expression of distinct sets of regulators in different T cell contexts."
39663454,MED12,evidence_attached,comparable,4142,Stim8hr,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 was required for histone methylation and expression of genes encoding key context-specific regulators, including the rest maintenance factor KLF2 and the versatile regulator MYC."
39663454,MYC,evidence_attached,comparable,676,Stim8hr,Central control of dynamic gene circuits governs T cell rest and activation.,"MED12 was required for histone methylation and expression of genes encoding key context-specific regulators, including the rest maintenance factor KLF2 and the versatile regulator MYC."
40545244,CD274,orthogonal_phenotype,orthogonal_phenotype,167,Stim8hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,CD5,orthogonal_phenotype,orthogonal_phenotype,1201,Stim48hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,FOXP3,orthogonal_phenotype,orthogonal_phenotype,4,Stim48hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,IL2RA,orthogonal_phenotype,orthogonal_phenotype,25,Stim48hr,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40545244,KLRG1,orthogonal_phenotype,orthogonal_phenotype,,,Fusion of spatiotemporal and network models to prioritize multiscale effects in single-cell perturbations.,"In melanoma, Perturb-STNet uncovered regulators like KLRG1 and CD79b, along with mediating pairs and triples (IgD-H2kb, PDL1-H2kb, NKP46-CD117, and FOXP3-CD5-CD25), revealing therapeutic strategies including checkpoint inhibition by targeting PDL1-H2kb to restore CD8+ T cell function, Treg depletion through inhibition of FOXP3-CD5-CD25 axis, and NK cell activation by enhancing NKP46-CD117 interactions."
40955316,FOXP3,contradicted,comparable,4,Stim48hr,Effects of CRISPR-Cas9-mediated &lt;i&gt;FOXP3&lt;/i&gt; knockout on CAR T cell potency.,"While the transcription factor forkhead box protein P3 (FOXP3) is primarily known for its role in regulatory T cell development and maintenance, recent studies suggest it may also influence effector T cell function."
41074026,TRAT1,contradicted,comparable,4,Stim48hr,T cell receptor associated transmembrane adaptor 1 (TRAT1) modulates human Th17 and Treg responses via PI3-kinase and STAT dependent mechanisms.,"Overexpression and CRISPR/Cas9-mediated knockout of TRAT1 in Treg enhanced suppression of CD4+ target cells via up-regulation of LAP/GARP but reduced suppression of CD8+ target cells, an effect confirmed in HLA-A2-specific CAR Treg in a human organoid model of allo-rejection.ConclusionsTRAT1 acts as a dual regulator of human CD4+ T cell function, limiting effector activation through modulation of intracellular signaling and supporting regulatory T cell-mediated suppression."
41074026,TRAT1,contradicted,comparable,4,Stim48hr,T cell receptor associated transmembrane adaptor 1 (TRAT1) modulates human Th17 and Treg responses via PI3-kinase and STAT dependent mechanisms.,"T cell Receptor Associated Transmembrane Adaptor 1 (TRAT1) has been implicated in modulating TCR complex stability, but its functional role in human effector and regulatory CD4+ T cell subsets remains poorly understood."
41074026,TRAT1,contradicted,comparable,4,Stim48hr,T cell receptor associated transmembrane adaptor 1 (TRAT1) modulates human Th17 and Treg responses via PI3-kinase and STAT dependent mechanisms.,"This study aimed to elucidate the role of TRAT1 in regulating T cell activation and differentiation, particularly in helper T cells function and regulatory T cells.MethodsPrimary human CD4+ T cells, including thymus-derived and induced regulatory T cells (Treg), were genetically modified by CRISPR/Cas9-mediated gene deletion or retro-/lentiviral overexpression of TRAT1."
41261174,CD274,evidence_attached,comparable,167,Stim8hr,Druggable genome CRISPR screening identifies the KEAP1/NRF2 axis as a mediator of PD-L1 expression.,"However, the key regulators and molecular mechanisms mediating rapid PD-L1 induction are yet to be understood entirely."
41261174,CD274,orthogonal_phenotype,orthogonal_phenotype,167,Stim8hr,Druggable genome CRISPR screening identifies the KEAP1/NRF2 axis as a mediator of PD-L1 expression.,Identifying how cancer cells increase PD-L1 expression may yield clinically relevant immune checkpoint regulators.
41261174,CD274,orthogonal_phenotype,orthogonal_phenotype,167,Stim8hr,Druggable genome CRISPR screening identifies the KEAP1/NRF2 axis as a mediator of PD-L1 expression.,The screening recovered the known regulators of PD-L1 expression and uncovered several novel regulators of PD-L1 that control its expression in all cell lines or in a cancer-type-specific fashion.
41377664,BAP1,evidence_attached,comparable,258,Stim48hr,CD2 costimulation strength: A key regulator of T cell function and anti-tumor immunity that is epigenetically regulated.,These findings identify BAP1 as a central regulator of receptor expression and highlight CD2 as a tunable modulator of human T cell responses.
41377664,BAP1,evidence_attached,comparable,258,Stim48hr,CD2 costimulation strength: A key regulator of T cell function and anti-tumor immunity that is epigenetically regulated.,"To identify factors sustaining CD2 expression, we performed a genome-wide CRISPR-Cas9 screen in Jurkat T cells and discovered BAP1 and SUZ12 as regulators."
41377664,CD2,orthogonal_phenotype,orthogonal_phenotype,989,Stim48hr,CD2 costimulation strength: A key regulator of T cell function and anti-tumor immunity that is epigenetically regulated.,CD2 costimulation strength: A key regulator of T cell function and anti-tumor immunity that is epigenetically regulated..
41377664,CD2,evidence_attached,comparable,989,Stim48hr,CD2 costimulation strength: A key regulator of T cell function and anti-tumor immunity that is epigenetically regulated.,These findings identify BAP1 as a central regulator of receptor expression and highlight CD2 as a tunable modulator of human T cell responses.
41377664,CD2,evidence_attached,comparable,989,Stim48hr,CD2 costimulation strength: A key regulator of T cell function and anti-tumor immunity that is epigenetically regulated.,"To identify factors sustaining CD2 expression, we performed a genome-wide CRISPR-Cas9 screen in Jurkat T cells and discovered BAP1 and SUZ12 as regulators."
41419632,TIGIT,not_assayed,comparable,,,Preclinical evaluation of TIGIT as a target to enhance efficacy and mitigate T cell exhaustion in multiple myeloma following BCMA-CAR-T therapy.,"Collectively, these findings identify TIGIT as a critical regulator of resistance to BCMA-CAR-T therapy and highlight TIGIT blockade as a promising strategy to enhance CAR-T efficacy and overcome relapse in multiple myeloma."
41494803,FKBP8,evidence_attached,comparable,43,Stim48hr,Targeting MLCK1 uncouples immune checkpoint inhibitor-induced colitis from antitumour immunity.,"Furthermore, a pharmacological screen identified the small molecule Epicatechin, which blocks MLCK1-FKBP8 interaction and inhibits the recruitment of MLCK1 to the perijunctional actomyosin ring and prevents the intestinal barrier loss."
41514902,GPX4,not_assayed,comparable,,,LazyNet: Interpretable ODE Modeling of Sparse CRISPR Single-Cell Screens Reveals New Biological Insights.,"The resulting networks show coherent enrichment against authoritative resources (large-scale co-expression and curated functional associations) and concordance with orthogonal GPX4-knockout proteomes, recovering known ferroptosis regulators and nominating testable links in a lysosomal-mitochondrial-immune module."
41533300,CCNA2,evidence_attached,comparable,818,Stim8hr,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41533300,DLGAP5,contradicted,comparable,2,Rest,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41533300,FOXM1,evidence_attached,comparable,46,Stim48hr,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41533300,FOXM1,evidence_attached,comparable,46,Stim48hr,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,The MAD2L1-FOXM1 axis negatively regulates CD4+ T cell and macrophages infiltration in lung adenocarcinoma..
41533300,GIMAP8,contradicted,comparable,4,Rest,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41533300,IL3RA,contradicted,comparable,2,Stim48hr,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41533300,MPEG1,not_assayed,comparable,,,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41533300,NCKAP1L,evidence_attached,comparable,2947,Rest,The MAD2L1-FOXM1 axis negatively regulates CD4⁺ T cell and macrophages infiltration in lung adenocarcinoma.,"RESULTS: FOXM1 was previously identified as a key upstream regulator of MAD2L1, with co-expression analysis revealing strong positive associations with cell cycle regulators (BIRC5, BUB1B, TTK, CCNA2, DLGAP5) and negative associations with immune-related genes (IL3RA, MPEG1, NCKAP1L, GIMAP8, MS4A14)."
41632816,ITGB1,contradicted,comparable,3,Stim8hr,ITGB1 Regulates Triple-Negative Breast Cancer Development by Modulating the Tumor Microenvironment.,CRISPR scanning pinpointed a previously unrecognized functional domain essential for ITGB1's pro-tumorigenic activity.
41632816,ITGB1,orthogonal_phenotype,orthogonal_phenotype,3,Stim8hr,ITGB1 Regulates Triple-Negative Breast Cancer Development by Modulating the Tumor Microenvironment.,ITGB1 Regulates Triple-Negative Breast Cancer Development by Modulating the Tumor Microenvironment..
41632816,ITGB1,orthogonal_phenotype,orthogonal_phenotype,3,Stim8hr,ITGB1 Regulates Triple-Negative Breast Cancer Development by Modulating the Tumor Microenvironment.,"Through a series of in vivo CRISPR screens, we identified tumor-intrinsic ITGB1 as a critical regulator of triple-negative breast cancer (TNBC) development and deciphered its underlying mechanisms."
41639465,GFI1,contradicted,comparable,1,Stim48hr,Atlas-guided discovery of transcription factors for T cell programming.,We also identified HIC1 and GFI1 as shared regulators of TEXterm and TRM cell differentiation and KLF6 as a unique regulator of TRM cells.
41639465,HIC1,contradicted,comparable,6,Stim48hr,Atlas-guided discovery of transcription factors for T cell programming.,We also identified HIC1 and GFI1 as shared regulators of TEXterm and TRM cell differentiation and KLF6 as a unique regulator of TRM cells.
41639465,KLF6,contradicted,comparable,7,Rest,Atlas-guided discovery of transcription factors for T cell programming.,We also identified HIC1 and GFI1 as shared regulators of TEXterm and TRM cell differentiation and KLF6 as a unique regulator of TRM cells.
41671386,FOXP3,orthogonal_phenotype,orthogonal_phenotype,4,Stim48hr,SAICAR Drives T Regulatory Cell Differentiation and FOXP3 Maintenance to Promote Immunotherapy Resistance.,SAICAR Drives T Regulatory Cell Differentiation and FOXP3 Maintenance to Promote Immunotherapy Resistance..
41671386,PDCD1,orthogonal_phenotype,orthogonal_phenotype,2,Stim48hr,SAICAR Drives T Regulatory Cell Differentiation and FOXP3 Maintenance to Promote Immunotherapy Resistance.,Regulatory T (Treg) cells within the tumor microenvironment critically undermine the efficacy of PD-1 immune checkpoint blockade.
41717286,MECP2,orthogonal_phenotype,orthogonal_phenotype,,,microRNA-422a promotes HIV replication and innate immune evasion by targeting MECP2.,microRNA-422a promotes HIV replication and innate immune evasion by targeting MECP2..
41741465,MTOR,evidence_attached,comparable,33,Stim48hr,Context-specific regulatory genetic variation in MTOR dampens neutrophil-T cell crosstalk in pneumonia-associated sepsis.,Context-specific regulatory genetic variation in MTOR dampens neutrophil-T cell crosstalk in pneumonia-associated sepsis..
41741465,MTOR,evidence_attached,comparable,33,Stim48hr,Context-specific regulatory genetic variation in MTOR dampens neutrophil-T cell crosstalk in pneumonia-associated sepsis.,"Here, we characterise genetic variation that modulates MTOR, a critical regulator of metabolism and immune responses in sepsis."
41741465,MTOR,evidence_attached,comparable,33,Stim48hr,Context-specific regulatory genetic variation in MTOR dampens neutrophil-T cell crosstalk in pneumonia-associated sepsis.,"Our work demonstrates an epigenetic mechanism fine-tuning MTOR transcription and T cell activity via the variant-containing regulatory element, which further exhibits an allelic effect upon vitamin C treatment."
41741465,MTOR,evidence_attached,comparable,33,Stim48hr,Context-specific regulatory genetic variation in MTOR dampens neutrophil-T cell crosstalk in pneumonia-associated sepsis.,"The effects are context specific, involving a regulatory element that affects MTOR expression in activated T cells with opposite effect in neutrophils."
41759376,PLCE1,orthogonal_phenotype,orthogonal_phenotype,,,CRISPR-based metabolic screening identifies PLCE1 as a pivotal regulator of oncolytic viral antitumor immunity via tumor immune microenvironment remodeling.,CRISPR-based metabolic screening identifies PLCE1 as a pivotal regulator of oncolytic viral antitumor immunity via tumor immune microenvironment remodeling..
41759376,PLCE1,orthogonal_phenotype,orthogonal_phenotype,,,CRISPR-based metabolic screening identifies PLCE1 as a pivotal regulator of oncolytic viral antitumor immunity via tumor immune microenvironment remodeling.,This study identified phospholipase C epsilon 1 (PLCE1) as a key negative regulator of OV antitumor effects via CRISPR-Cas9 metabolic gene screening in MC38 colorectal cancer model.
41782037,CTCF,not_assayed,comparable,,,Single cell multiomic analysis of the impact of Delta-9-tetrahydrocannabinol on HIV infected CD4 T cells.,"Additionally, chromatin accessibility analysis demonstrated upregulated chromatin binding activity for the transcriptional regulator CTCF, and reduced activity for members of the ETS transcription factor family in infected cells after THC exposure."
41784457,STAT3,evidence_attached,comparable,1593,Stim48hr,"Interleukin-6-Associated Pyroptosis, Apoptosis, and Necroptosis via JAKs/STAT3-RIPK1 Axis: A Potential Mechanism for CD4 + T-Cell Depletion in Bacterial Sepsis.","This study aimed to elucidate the molecular mechanisms contributing to CD4 + T-cell depletion in sepsis, focusing specifically on the IL-6/Janus kinases (JAKs)/signal transducer and activator of transcription 3 (STAT3) signaling axis and programmed cell death.DesignProspective cohort study.SettingAdult ICUs at a university hospital.PatientsAdult sepsis and septic shock patients without any documented immune comorbidity.InterventionsNone.Measurements and main resultsA prospective analysis enrolled 151 patients (93 sepsis, 58 septic shock) and 20 controls."
41799952,TNF,orthogonal_phenotype,orthogonal_phenotype,5,Stim8hr,pH-neutralization strategy to suppress GPCR68 spatiotemporally activates T cells and enhances anti-tumor immunity.,"GPCR68 acts as a negative regulator of T cell-driven anti-tumor immunity, as evidenced by the enhanced cytokine production (IFN-γ, TNF-α) and suppressed tumor growth in T cell-specific GPCR68 knockout mice (GPCR68fl/flCD4Cre)."
41873712,KDM1A,orthogonal_phenotype,orthogonal_phenotype,2913,Stim48hr,Transcriptional Activation of SBNO2 by KDM1A Drives Immune Escape in Lung Cancer.,"Mechanistically, KDM1A acted as a transcription regulator binding to the SBNO2 promoter and positively regulated its mRNA expression in lung cancer cells."
41873712,KDM1A,orthogonal_phenotype,orthogonal_phenotype,2913,Stim48hr,Transcriptional Activation of SBNO2 by KDM1A Drives Immune Escape in Lung Cancer.,"This study unveils a novel mechanism whereby KDM1A drives immune escape in lung cancer by transcriptionally activating SBNO2, which subsequently suppresses the anti-tumor role of CD8+ T cells."
41873712,KDM1A,orthogonal_phenotype,orthogonal_phenotype,2913,Stim48hr,Transcriptional Activation of SBNO2 by KDM1A Drives Immune Escape in Lung Cancer.,Transcriptional Activation of SBNO2 by KDM1A Drives Immune Escape in Lung Cancer..
41878422,CISH,contradicted,comparable,6,Stim48hr,Cytokine inducible SH2-containing protein: a versatile negative regulator of cytokine receptor signaling.,"CISH regulates T cell production, polarization and activation through interleukin (IL)-2, IL-4 and the T cell receptor (TCR), natural killer (NK) cell production and activation via IL-15, generation and/or activation of neutrophil, dendritic cell (DC) and macrophage populations through granulocyte-macrophage colony-stimulating factor (GM-CSF), erythrocyte production via erythropoietin (EPO), and appetite control through leptin."
41878422,CISH,orthogonal_phenotype,orthogonal_phenotype,6,Stim48hr,Cytokine inducible SH2-containing protein: a versatile negative regulator of cytokine receptor signaling.,Cytokine inducible SH2-containing protein (CISH) was the founding member of the suppressor of cytokine signaling (SOCS) family of negative regulators.
41886078,CD40,not_assayed,comparable,,,Direct contact with natural killer cells reprograms monocyte-derived dendritic cells into a tolerogenic phenotype.,"We confirm that the generated DCs exhibit tolerogenic properties, marked by a reduced ability to induce allogenic T-cell activation, increased expression of regulatory mediators including IL-10 and IDO1, and decreased levels of co-stimulatory and activation markers such as CD11c, CD40, and CD44."
41886078,CD44,contradicted,comparable,4,Stim8hr,Direct contact with natural killer cells reprograms monocyte-derived dendritic cells into a tolerogenic phenotype.,"We confirm that the generated DCs exhibit tolerogenic properties, marked by a reduced ability to induce allogenic T-cell activation, increased expression of regulatory mediators including IL-10 and IDO1, and decreased levels of co-stimulatory and activation markers such as CD11c, CD40, and CD44."
41886078,IKZF1,evidence_attached,comparable,168,Stim8hr,Direct contact with natural killer cells reprograms monocyte-derived dendritic cells into a tolerogenic phenotype.,"Finally, using CRISPR knockout, we confirm the essential role of transcription factors IKZF1 and PU.1 in this process."
